Nombre,Ciudad,Dirección,Detalles,Latitud,Longitud,URL_Imagen,phone,email
Castellón Beach Work,Castellón,"Calle Mayor 34","Oficinas con ambiente mediterráneo. 270€",39.9859,-0.0377,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@castellonbeachwork.com, +34 600 456 789
Huelva Port Office,Huelva,"Avenida Martin Alonso Pinzón 12","Espacios portuarios renovados. 255€",37.2571,-6.9505,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@huelvaportoffice.com, +34 600 654 321
Cáceres Heritage Lab,Cáceres,"Plaza Mayor 5","Coworking en centro monumental. 235€",39.4753,-6.3724,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@caceresheritagelab.com, +34 600 987 654
Tarragona Roman Hub,Tarragona,"Rambla Nova 45","Espacios modernos en entorno histórico. 290€",41.1188,1.2542,https://images.unsplash.com/photo-1497366216548-37526070297c,info@tarragonaromanhub.com, +34 600 321 987
Lleida Agro Hub,Lleida,"Carrer Major 31","Centro de innovación agrotech. 265€",41.6175,0.6200,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@lleidaagrohub.com, +34 600 456 789
Donosti Lab,San Sebastián,"Boulevard 24","Espacio premium vista bahía. 385€",43.3224,-1.9846,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@donostilab.com, +34 600 654 321
Albacete Connect,Albacete,"Calle Ancha 12","Centro de negocios moderno. 245€",38.9942,-1.8564,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@albaceteconnect.com, +34 600 987 654
Jaén Olive Hub,Jaén,"Paseo de la Estación 15","Espacios inspirados en la cultura del olivo. 240€",37.7796,-3.7849,https://images.unsplash.com/photo-1497366216548-37526070297c,info@jaenolivehub.com, +34 600 321 987
Ourense Thermal Hub,Ourense,"Rúa do Paseo 23","Oficinas con spa termal. 255€",42.3364,-7.8633,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@ourensethermalhub.com, +34 600 456 789
Girona Creative Center,Girona,"Carrer Nou 45","Espacio creativo en casco antiguo. 295€",41.9842,2.8237,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@gironacreativecenter.com, +34 600 654 321
Lugo Roman Office,Lugo,"Praza Maior 8","Coworking en entorno histórico. 235€",43.0097,-7.5567,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@lugoromanoffice.com, +34 600 987 654
Santiago Innovation,Santiago de Compostela,"Rúa do Franco 12","Espacios inspiradores en zona histórica. 275€",42.8782,-8.5448,https://images.unsplash.com/photo-1497366216548-37526070297c,info@santiagoinnovation.com, +34 600 321 987
Cuenca Arts Hub,Cuenca,"Calle Alfonso VIII 15","Centro creativo en ciudad histórica. 240€",40.0718,-2.1343,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@cuencaartshub.com, +34 600 456 789
Vitoria Green Office,Vitoria,"Calle Eduardo Dato 14","Espacios sostenibles y ecológicos. 280€",42.8467,-2.6716,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@vitoriagreenoffice.com, +34 600 654 321
Cartagena Port Lab,Cartagena,"Calle Mayor 25","Innovación en entorno portuario. 265€",37.6057,-0.9912,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@cartagenaportlab.com, +34 600 987 654
Elche Palm Hub,Elche,"Carrer Corredora 45","Espacios entre palmeras. 255€",38.2655,-0.6987,https://images.unsplash.com/photo-1497366216548-37526070297c,info@elchepalmhub.com, +34 600 321 987
Alcalá Knowledge Center,Alcalá de Henares,"Calle Mayor 28","Hub universitario innovador. 285€",40.4819,-3.3635,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@alcalaknowledgecenter.com, +34 600 456 789
Marbella Luxury Work,Marbella,"Avenida Ricardo Soriano 39","Espacios premium costa. 425€",36.5097,-4.8853,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@marbellaluxurywork.com, +34 600 654 321
Reus Creative Space,Reus,"Carrer de Monterols 16","Centro modernista renovado. 270€",41.1557,1.1075,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@reuscreativespace.com, +34 600 987 654
Tenerife Ocean Hub,Santa Cruz de Tenerife,"Calle Castillo 45","Oficinas vista océano. 315€",28.4636,-16.2518,https://images.unsplash.com/photo-1497366216548-37526070297c,info@tenerifeoceanhub.com, +34 600 321 987
Las Palmas Tropical Work,Las Palmas,"Calle Triana 89","Coworking ambiente tropical. 305€",28.1235,-15.4366,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@laspalmaswork.com, +34 600 456 789
Ceuta Mediterranean Hub,Ceuta,"Paseo del Revellín 25","Espacios entre dos continentes. 265€",35.8883,-5.3162,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@ceutamediterraneanhub.com, +34 600 654 321
Melilla Fortress Lab,Melilla,"Calle General Marina 12","Oficinas en entorno histórico. 255€",35.2923,-2.9381,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@melillafortresslab.com, +34 600 987 654
Benidorm Sky Office,Benidorm,"Avenida Mediterráneo 55","Espacios premium en rascacielos. 345€",38.5411,-0.1225,https://images.unsplash.com/photo-1497366216548-37526070297c,info@benidormskyoffice.com, +34 600 321 987
Torrevieja Sea Lab,Torrevieja,"Calle Ramón Gallud 39","Coworking vista mar. 275€",37.9789,-0.6820,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@torreviejasealab.com, +34 600 456 789
Fuengirola Sun Work,Fuengirola,"Avenida Condes de San Isidro 23","Espacios luminosos costa. 295€",36.5394,-4.6246,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@fuengirolasunwork.com, +34 600 654 321
Gandía Beach Hub,Gandía,"Paseo Marítimo 67","Oficinas primera línea playa. 285€",38.9965,-0.1667,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@gandiabeachhub.com, +34 600 987 654
Algeciras Port Work,Algeciras,"Avenida Virgen del Carmen 29","Espacios vista estrecho. 265€",36.1297,-5.4476,https://images.unsplash.com/photo-1497366216548-37526070297c,info@algecirasportwork.com, +34 600 321 987
Mérida Roman Lab,Mérida,"Calle Santa Eulalia 44","Coworking en zona arqueológica. 245€",38.9166,-6.3431,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@meridaromanlab.com, +34 600 456 789
Pontevedra Green Office,Pontevedra,"Rúa Real 34","Espacios sostenibles centro. 260€",42.4314,-8.6444,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@pontevedragreenoffice.com, +34 600 654 321
Ibiza Beach Work,Ibiza,"Paseo Vara de Rey 23","Coworking estilo mediterráneo. 385€",38.9067,1.4206,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@ibizabeachwork.com, +34 600 987 654
Menorca Calm Space,Mahón,"Carrer Nou 56","Oficinas ambiente tranquilo. 295€",39.8885,4.2658,https://images.unsplash.com/photo-1497366216548-37526070297c,info@menorcacalmspace.com, +34 600 321 987
Lanzarote Volcanic Lab,Arrecife,"Calle León y Castillo 45","Espacios diseño volcánico. 275€",28.9637,-13.5477,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@lanzarotevolcaniclab.com, +34 600 456 789
Fuerteventura Surf Office,Puerto del Rosario,"Calle Primero de Mayo 29","Coworking para digital nomads. 265€",28.5001,-13.8628,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@fuerteventurasurfoffice.com, +34 600 654 321
La Palma Star Work,Santa Cruz de La Palma,"Calle O'Daly 22","Oficinas cielo estrellado. 255€",28.6835,-17.7644,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@lapalmastarwork.com, +34 600 987 654
Segovia Aqueduct Lab,Segovia,"Calle Real 15","Espacios vista acueducto. 265€",40.9429,-4.1088,https://images.unsplash.com/photo-1497366216548-37526070297c,info@segoviaaqueductlab.com, +34 600 321 987
Ávila Medieval Hub,Ávila,"Plaza del Mercado Chico 5","Coworking entre murallas. 245€",40.6937,-4.6929,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@avilamedievalhub.com, +34 600 456 789
Zamora River Work,Zamora,"Calle Santa Clara 23","Oficinas vista río Duero. 235€",41.5036,-5.7461,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@zamorariverwork.com, +34 600 654 321
Soria Nature Lab,Soria,"Calle Collado 45","Espacios conectados naturaleza. 240€",41.7636,-2.4685,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@sorianaturelab.com, +34 600 987 654
Teruel Mudéjar Hub,Teruel,"Plaza del Torico 8","Coworking estilo mudéjar. 235€",40.3447,-1.1071,https://images.unsplash.com/photo-1497366216548-37526070297c,info@teruelmudejarhub.com, +34 600 321 987
Huesca Mountain Lab,Huesca,"Calle Coso Alto 45","Oficinas vista Pirineos. 245€",42.1362,-0.4087,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@huescamountainlab.com, +34 600 456 789
Ciudad Real Quijote Space,Ciudad Real,"Calle Calatrava 12","Espacios inspiración manchega. 240€",38.9848,-3.9273,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@ciudadrealquijotespace.com, +34 600 654 321
Guadalajara Central Hub,Guadalajara,"Calle Mayor 34","Coworking centro histórico. 255€",40.6337,-3.1668,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@guadalajaracentralhub.com, +34 600 987 654
Palencia Castle Work,Palencia,"Calle Mayor Principal 31","Oficinas zona monumental. 245€",42.0096,-4.5288,https://images.unsplash.com/photo-1497366216548-37526070297c,info@palenciacastlework.com, +34 600 321 987
Alcorcón Business Center,Alcorcón,"Calle Mayor 67","Espacios empresariales modernos. 295€",40.3497,-3.8282,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@alcorconbusinesscenter.com, +34 600 456 789
Getafe Tech Park,Getafe,"Calle Madrid 45","Hub tecnológico sur Madrid. 285€",40.3048,-3.7325,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@getafetechpark.com, +34 600 654 321
Torrejón Innovation Hub,Torrejón de Ardoz,"Calle Enmedio 23","Centro innovación corredor Henares. 275€",40.4565,-3.4701,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@torrejoninnovationhub.com, +34 600 987 654
Alcobendas Executive Center,Alcobendas,"Calle Constitución 12","Espacios premium norte Madrid. 365€",40.5475,-3.6422,https://images.unsplash.com/photo-1497366216548-37526070297c,info@alcobendasec.com, +34 600 321 987
San Sebastián Playa,San Sebastián de los Reyes,"Avenida España 56","Oficinas modernas zona norte. 315€",40.5475,-3.6422,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@sansebastianplaya.com, +34 600 456 789
Pozuelo Business Park,Pozuelo de Alarcón,"Avenida Europa 34","Espacios corporativos oeste Madrid. 375€",40.4353,-3.8136,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@pozuelo.business, +34 600 654 321
Las Rozas Valley,Las Rozas,"Calle Real 89","Hub tecnológico noroeste Madrid. 345€",40.4937,-3.8738,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@lasrozasvalley.com, +34 600 987 654
Majadahonda Premium,Majadahonda,"Gran Vía 23","Coworking premium oeste Madrid. 355€",40.4729,-3.8724,https://images.unsplash.com/photo-1497366216548-37526070297c,info@majadahondapremium.com, +34 600 321 987
Rivas Tech City,Rivas-Vaciamadrid,"Avenida Covibar 45","Espacios sostenibles este Madrid. 285€",40.3658,-3.5306,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@rivastechcity.com, +34 600 456 789
Tres Cantos Innovation,Tres Cantos,"Avenida de los Artesanos 67","Centro tecnológico norte Madrid. 325€",40.5989,-3.7119,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@trescantosinnovation.com, +34 600 654 321
Coslada Logistics Hub,Coslada,"Avenida de la Cañada 34","Espacios logísticos este Madrid. 275€",40.4256,-3.5261,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@cosladalogisticshub.com, +34 600 987 654
San Fernando Business,San Fernando de Henares,"Calle Libertad 45","Oficinas corredor Henares. 265€",40.4251,-3.5366,https://images.unsplash.com/photo-1497366216548-37526070297c,info@sanfernandobusiness.com, +34 600 321 987
Arganda Valley,Arganda del Rey,"Avenida de Madrid 78","Hub industrial sureste Madrid. 255€",40.3017,-3.4387,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@argandavalley.com, +34 600 456 789
Pinto South Hub,Pinto,"Calle Hospital 23","Espacios empresariales sur Madrid. 265€",40.2444,-3.6969,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@pintosouthhub.com, +34 600 654 321
Valdemoro Business Park,Valdemoro,"Calle Estrella de Elola 12","Centro negocios sur Madrid. 275€",40.1927,-3.6773,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@valdemorobusinesspark.com, +34 600 987 654
Collado Smart Valley,Collado Villalba,"Calle Real 56","Hub sierra Madrid. 285€",40.6273,-4.0169,https://images.unsplash.com/photo-1497366216548-37526070297c,info@colladosmartvalley.com, +34 600 321 987
Aranjuez Royal Work,Aranjuez,"Calle Stuart 34","Espacios históricos sur Madrid. 265€",40.0375,-3.6034,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@aranjuezroyalwork.com, +34 600 456 789
Boadilla Executive,Boadilla del Monte,"Avenida Siglo XXI 45","Oficinas premium oeste Madrid. 345€",40.4051,-3.8779,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@boadillaexecutive.com, +34 600 654 321
Colmenar Tech Park,Colmenar Viejo,"Calle Real 78","Centro tecnológico norte Madrid. 295€",40.6590,-3.7668,https://images.unsplash.com/photo-1497366754035-5f381699e765,contacto@colmenartechpark.com, +34 600 987 654
Navalcarnero Hub,Navalcarnero,"Plaza de Segovia 12","Espacios creativos suroeste Madrid. 255€",40.2887,-4.0134,https://images.unsplash.com/photo-1497366216548-37526070297c,info@navalcarnerohub.com, +34 600 321 987
El Escorial Heritage,San Lorenzo de El Escorial,"Calle Floridablanca 23","Coworking histórico sierra Madrid. 285€",40.5889,-4.1478,https://images.unsplash.com/photo-1498409785966-ab341407de6e,contacto@elescorialheritage.com, +34 600 456 789
Villaviciosa Premium,Villaviciosa de Odón,"Avenida Príncipe de Asturias 56","Oficinas exclusivas oeste Madrid. 325€",40.3557,-3.9150,https://images.unsplash.com/photo-1497366811353-6870744d04b2,info@villaviciosapremium.com, +34 600 654 321
