Nombre,Ciudad,Dirección,Detalles,Latitud,Longitud,URL_Imagen1,URL_Imagen2,URL_Imagen3,URL_Imagen4,phone,email,URL,precio_dia,precio_semana,precio_mes,precio_puesto_fijo,horario,servicios,capacidad,tipos_espacio
Coworking Madrid NEXT FLOOR,Madrid,"Torre Emperador Castellana, P.º de la Castellana, 259, Fuencarral-El Pardo, 28046 Madrid, España",Espacio coworking en Madrid. Valoración: 4.8,40.4790283,-3.6868401,/uploads/coworking/coworking_coworking_madrid_next_floor_1.jpg,/uploads/coworking/coworking_coworking_madrid_next_floor_2.jpg,/uploads/coworking/coworking_coworking_madrid_next_floor_3.jpg,/uploads/coworking/coworking_coworking_madrid_next_floor_4.jpg,676 75 30 57,next-floor-generico-negativo@3x-300x152.png,https://emperadorproperties.com/nextfloor/coworking-madrid-next-floor/,,,70,,"24h"">","wifi,internet,sala de reuniones,impresora,cocina,parking",,"puesto flexible,despacho privado,sala de reuniones"
Cink Coworking,Madrid,"C. de Orense, 70, Tetuán, 28020 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.4620269,-3.6936646,/uploads/coworking/coworking_cink_coworking_1.jpg,/uploads/coworking/coworking_cink_coworking_2.jpg,/uploads/coworking/coworking_cink_coworking_3.jpg,/uploads/coworking/coworking_cink_coworking_4.jpg,918 82 85 77,info@cinkcoworking.es,https://cinkcoworking.es/,,,,,de vuestros coworking de madrid?</a>,"sala de reuniones,café,impresora,parking",,"despacho privado,sala de reuniones"
Coworking LOOM Huertas,Madrid,"C. de las Huertas, 11, Centro, 28012 Madrid, España",Espacio coworking en Madrid. Valoración: 4.7,40.414036,-3.700693,/uploads/coworking/coworking_coworking_loom_huertas_1.jpg,/uploads/coworking/coworking_coworking_loom_huertas_2.jpg,/uploads/coworking/coworking_coworking_loom_huertas_3.jpg,/uploads/coworking/coworking_coworking_loom_huertas_4.jpg,682 56 90 47,rrhh@loom.es,https://loom.es/espacios-coworking/madrid/loom-huertas/?utm_medium=gmb_fuente&utm_source=loom_huertas&utm_campaign=,,,275,,,"internet,café,impresora,parking,terraza",,
espacio 44 coworking,Madrid,"C. del Monte Esquinza, 44, Chamberí, 28010 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.4311841,-3.6915698,/uploads/coworking/coworking_espacio_44_coworking_1.jpg,/uploads/coworking/coworking_espacio_44_coworking_2.jpg,/uploads/coworking/coworking_espacio_44_coworking_3.jpg,/uploads/coworking/coworking_espacio_44_coworking_4.jpg,658 71 72 34,,,,,,,,,,
Cink Coworking,Madrid,"P.º de la Castellana, 194, Chamartín, 28046 Madrid, España",Espacio coworking en Madrid. Valoración: 4.6,40.461669,-3.6890639,/uploads/coworking/coworking_cink_coworking_1.jpg,/uploads/coworking/coworking_cink_coworking_2.jpg,/uploads/coworking/coworking_cink_coworking_3.jpg,/uploads/coworking/coworking_cink_coworking_4.jpg,915 35 81 97,info@cinkcoworking.es,https://cinkcoworking.es/,,,,,de vuestros coworking de madrid?</a>,"sala de reuniones,café,impresora,parking",,"despacho privado,sala de reuniones"
Weplan Space Coworking,Madrid,"C. de Cadarso, 8, Moncloa - Aravaca, 28008 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.4220418,-3.7143776,/uploads/coworking/coworking_weplan_space_coworking_1.jpg,/uploads/coworking/coworking_weplan_space_coworking_2.jpg,/uploads/coworking/coworking_weplan_space_coworking_3.jpg,/uploads/coworking/coworking_weplan_space_coworking_4.jpg,615 96 96 98,hello@weplan.global,https://space.weplan.global/,,,,,"s 24/7 lunes - domingo</li><li><img src=""https://space.weplan.global/wp-content/uploads/2024/03/grupo-30116-e1710758188823.png"">internet de alta velocidad</li><li><img src=""https://space.weplan.global/wp-content/uploads/2024/03/grupo-30496-e1710758208115.png"">recepción de paquetería</li><li><img src=""https://space.weplan.global/wp-content/uploads/2024/03/grupo-30495-e1710758226638.png"">sala de reuniones</li><li><img src=""https://space.weplan.global/wp-content/uploads/2024/03/grupo-30497-1-e1710758241746.png"">cocina y zona chill</li><ul>                </ul></ul></div>","internet,sala de reuniones,café,cocina,aire acondicionado",,sala de reuniones
NOMAD COWORKING,Madrid,"C. de Apolonio Morales, 3, Chamartín, 28036 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.46350839999999,-3.684142,/uploads/coworking/coworking_nomad_coworking_1.jpg,/uploads/coworking/coworking_nomad_coworking_2.jpg,/uploads/coworking/coworking_nomad_coworking_3.jpg,/uploads/coworking/coworking_nomad_coworking_4.jpg,628 32 35 08,info@nomadespacios.com,http://www.nomadcoworkingmadrid.com/,,,,,,,,"puesto fijo,puesto flexible"
Oxygen Workspace,Madrid,"Calle de la Princesa, 31, planta, 2ª, Moncloa - Aravaca, 28008 Madrid, España",Espacio coworking en Madrid. Valoración: 4.8,40.428085,-3.714636999999999,/uploads/coworking/coworking_oxygen_workspace_1.jpg,/uploads/coworking/coworking_oxygen_workspace_2.jpg,/uploads/coworking/coworking_oxygen_workspace_3.jpg,/uploads/coworking/coworking_oxygen_workspace_4.jpg,604 92 64 70,hola@oxygenworkspace.com,https://www.oxygenworkspace.com/,,,16,,"(y calendario) americano cuando hace falta.</em></p></div><div class=""ab-testimonial-info""><div class=""ab-testimonial-avatar-wrap""><div class=""ab-testimonial-image-wrap""><picture decoding=""async"" class=""ab-testimonial-avatar"">","wifi,internet,sala de reuniones,café,impresora,cocina,parking",,"despacho privado,sala de reuniones"
Coworking Madrid / Creactivos,Madrid,"C. de la Infanta Mercedes, 20, Tetuán, 28020 Madrid, España",Espacio coworking en Madrid. Valoración: 4.4,40.454832,-3.6986447,/uploads/coworking/coworking_coworking_madrid__creactivos_1.jpg,/uploads/coworking/coworking_coworking_madrid__creactivos_2.jpg,/uploads/coworking/coworking_coworking_madrid__creactivos_3.jpg,/uploads/coworking/coworking_coworking_madrid__creactivos_4.jpg,605 49 02 07,,,,,,,,,,
COWORKING LABASTIDA,Madrid,"C. de Labastida, 2, 2ª y 3ª Planta, Fuencarral-El Pardo, 28034 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.4882494,-3.6896618,/uploads/coworking/coworking_coworking_labastida_1.jpg,/uploads/coworking/coworking_coworking_labastida_2.jpg,/uploads/coworking/coworking_coworking_labastida_3.jpg,/uploads/coworking/coworking_coworking_labastida_4.jpg,911 08 40 41,core-js-bundle@3.2.1,https://www.labastidamadrid.com/,50,50,35,,,sala de reuniones,,sala de reuniones
Espacio Distrito,Madrid,"C. de Cristóbal Bordiú, 22, Chamberí, 28003 Madrid, España",Espacio coworking en Madrid. Valoración: 4.8,40.4430753,-3.7014799,/uploads/coworking/coworking_espacio_distrito_1.jpg,/uploads/coworking/coworking_espacio_distrito_2.jpg,/uploads/coworking/coworking_espacio_distrito_3.jpg,/uploads/coworking/coworking_espacio_distrito_4.jpg,914 47 07 72,lucia.sen@espaciodistrito.com,http://www.espaciodistrito.com/,,,,,. atienden muy bien.</div>,café,,despacho privado
La Industrial,Madrid,"Calle de San Andrés, 8, Local, Centro, 28004 Madrid, España",Espacio coworking en Madrid. Valoración: 4.5,40.4260393,-3.7037424,/uploads/coworking/coworking_la_industrial_1.jpg,/uploads/coworking/coworking_la_industrial_2.jpg,/uploads/coworking/coworking_la_industrial_3.jpg,/uploads/coworking/coworking_la_industrial_4.jpg,914 46 38 19,,http://www.laindustrialservicios.com/,,,,,,"wifi,internet,sala de reuniones,café",,sala de reuniones
SD COWORKING,Madrid,"C. de Claudio Coello, 76, Salamanca, 28001 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.4297799,-3.6858109,/uploads/coworking/coworking_sd_coworking_1.jpg,/uploads/coworking/coworking_sd_coworking_2.jpg,/uploads/coworking/coworking_sd_coworking_3.jpg,/uploads/coworking/coworking_sd_coworking_4.jpg,914 53 77 60,info@sdcoworking.es,https://sdcoworking.es/,,,,,,"sala de reuniones,cocina",,sala de reuniones
Aticco Maria De Molina - Coworking en Madrid,Madrid,"Calle de María de Molina, 39, 3ª planta, Chamartín, 28006 Madrid, España",Espacio coworking en Madrid. Valoración: 4.7,40.437745,-3.6800324,/uploads/coworking/coworking_aticco_maria_de_molina__coworking_en_madrid_1.jpg,/uploads/coworking/coworking_aticco_maria_de_molina__coworking_en_madrid_2.jpg,/uploads/coworking/coworking_aticco_maria_de_molina__coworking_en_madrid_3.jpg,/uploads/coworking/coworking_aticco_maria_de_molina__coworking_en_madrid_4.jpg,690 25 80 98,hola@aticco.com,https://aticco.com/aticco-maria-molina/,,,,,"s: <span class=""p2-bold"">lunes-jueves 9:00 a 18:30h viernes 9:00 a 14:00h</span></p>","wifi,internet,sala de reuniones,café,terraza",,"sala de reuniones,oficina privada"
First workplaces: oficinas y espacios de coworking en Torre Europa,Madrid,"Torre Europa, P.º de la Castellana, 95, Planta 28 Edificio, Tetuán, 28046 Madrid, España",Espacio coworking en Madrid. Valoración: 4.7,40.45166700000001,-3.691667,/uploads/coworking/coworking_first_workplaces_oficinas_y_espacios_de_coworking_en_torre_europa_1.jpg,/uploads/coworking/coworking_first_workplaces_oficinas_y_espacios_de_coworking_en_torre_europa_2.jpg,/uploads/coworking/coworking_first_workplaces_oficinas_y_espacios_de_coworking_en_torre_europa_3.jpg,/uploads/coworking/coworking_first_workplaces_oficinas_y_espacios_de_coworking_en_torre_europa_4.jpg,900 903 320,,https://www.firstworkplaces.com/torre-europa-first/?utm_source=GoogleMaps&utm_medium=MyBusiness,,,,,08:00-18:30,internet,,
ILCOWORKING & LEGAL SERVICES,Madrid,"Gta. de Bilbao, 1, tercero derecha, Chamberí, 28010 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.429354,-3.7028094,/uploads/coworking/coworking_ilcoworking__legal_services_1.jpg,/uploads/coworking/coworking_ilcoworking__legal_services_2.jpg,/uploads/coworking/coworking_ilcoworking__legal_services_3.jpg,/uploads/coworking/coworking_ilcoworking__legal_services_4.jpg,621 12 74 59,info@ilcoworking.es,https://ilcoworking.es/,,,,,"habitual?</p><i class=""vc_toggle_icon""></i></div><div class=""vc_toggle_content""><p>el acceso fuera del horario establecido puede coordinarse previamente, sujeto a condiciones y tarifas específicas.</p></div></div><div class=""vc_toggle vc_toggle_round vc_toggle_color_default  vc_toggle_size_sm""><div class=""vc_toggle_title""><p style=""font-size: 20px;color: #52c28a;text-align: left;font-family:open sans;font-weight:600;font-style:normal"" class=""vc_custom_heading"">¿ofrecen algún descuento para reservas a largo plazo?</p><i class=""vc_toggle_icon""></i></div><div class=""vc_toggle_content""><p>sí, ofrecemos tarifas especiales para compromisos a largo plazo. contacta con nuestro equipo para más detalles.</p><div id=""gtx-trans"" style=""position: absolute; left: -23px; top: -14px;""><div class=""gtx-trans-icon""></div></div></div></div></div></div></div><div class=""wpb_column vc_column_container vc_col-sm-6""><div class=""vc_column-inner""><div class=""wpb_wrapper""><div class=""vc_toggle vc_toggle_round vc_toggle_color_default  vc_toggle_size_sm""><div class=""vc_toggle_title""><p style=""font-size: 20px;color: #52c28a;text-align: left;font-family:open sans;font-weight:600;font-style:normal"" class=""vc_custom_heading"">¿qué servicios adicionales ofrecen?</p><i class=""vc_toggle_icon""></i></div><div class=""vc_toggle_content""><p>además del espacio de trabajo, ofrecemos servicios de domiciliación fiscal y social, gestión contable y fiscal, asesoramiento jurídico, y apoyo administrativo.</p><div id=""gtx-trans"" style=""position: absolute; left: 8px; top: -14px;""><div class=""gtx-trans-icon""></div></div></div></div><div class=""vc_toggle vc_toggle_round vc_toggle_color_default  vc_toggle_size_sm""><div class=""vc_toggle_title""><p style=""font-size: 20px;color: #52c28a;text-align: left;font-family:open sans;font-weight:600;font-style:normal"" class=""vc_custom_heading"">¿cuál es la política de invitados en el coworking?</p><i class=""vc_toggle_icon""></i></div><div class=""vc_toggle_content""><p>los invitados son bienvenidos en las zonas comunes y de recepción, pero deben ser registrados previamente en la recepción.</p></div></div><div class=""vc_toggle vc_toggle_round vc_toggle_color_default  vc_toggle_size_sm""><div class=""vc_toggle_title""><p style=""font-size: 20px;color: #52c28a;text-align: left;font-family:open sans;font-weight:600;font-style:normal"" class=""vc_custom_heading"">¿puedo traer mi propio equipo de oficina al coworking?</p><i class=""vc_toggle_icon""></i></div><div class=""vc_toggle_content""><p>los elementos pequeños de oficina son permitidos, pero recomendamos consultar con nuestro equipo para artículos más grandes o específicos.</p></div></div><div class=""vc_toggle vc_toggle_round vc_toggle_color_default  vc_toggle_size_sm""><div class=""vc_toggle_title""><p style=""font-size: 20px;color: #52c28a;text-align: left;font-family:open sans;font-weight:600;font-style:normal"" class=""vc_custom_heading"">¿existe algún compromiso de permanencia mínimo?</p><i class=""vc_toggle_icon""></i></div><div class=""vc_toggle_content""><p>no exigimos un compromiso de permanencia mínimo para puestos de coworking, pero los despachos privados y las salas pueden tener condiciones específicas.</p><div id=""gtx-trans"" style=""position: absolute; left: -16px; top: 32px;""><div class=""gtx-trans-icon""></div></div></div></div><div class=""vc_toggle vc_toggle_round vc_toggle_color_default  vc_toggle_size_sm""><div class=""vc_toggle_title""><p style=""font-size: 20px;color: #52c28a;text-align: left;font-family:open sans;font-weight:600;font-style:normal"" class=""vc_custom_heading"">¿cómo gestionan la privacidad y seguridad de los espacios de trabajo?</p><i class=""vc_toggle_icon""></i></div><div class=""vc_toggle_content""><p>contamos con un sistema de seguridad y videovigilancia 24/7, además de políticas de privacidad para proteger a nuestros clientes.</p><div id=""gtx-trans"" style=""position: absolute; left: 3px; top: -14px;""><div class=""gtx-trans-icon""></div></div></div></div><div class=""vc_toggle vc_toggle_round vc_toggle_color_default  vc_toggle_size_sm""><div class=""vc_toggle_title""><p style=""font-size: 20px;color: #52c28a;text-align: left;font-family:open sans;font-weight:600;font-style:normal"" class=""vc_custom_heading"">¿tienen opciones de estacionamiento?</p><i class=""vc_toggle_icon""></i></div><div class=""vc_toggle_content""><p>aunque no contamos con estacionamiento propio, hay opciones de parkings subterráneos cercanos.</p><div id=""gtx-trans"" style=""position: absolute; left: -8px; top: -14px;""><div class=""gtx-trans-icon""></div></div></div></div><div class=""vc_toggle vc_toggle_round vc_toggle_color_default  vc_toggle_size_sm""><div class=""vc_toggle_title""><p style=""font-size: 20px;color: #52c28a;text-align: left;font-family:open sans;font-weight:600;font-style:normal"" class=""vc_custom_heading"">¿ofrecen acceso a impresoras y material de oficina?</p><i class=""vc_toggle_icon""></i></div><div class=""vc_toggle_content""><p>sí, proporcionamos acceso a impresoras y material básico de oficina. los servicios de reprografía pueden tener costos adicionales.</p><div id=""gtx-trans"" style=""position: absolute; left: -40px; top: 32px;""><div class=""gtx-trans-icon""></div></div></div></div><div class=""vc_toggle vc_toggle_round vc_toggle_color_default  vc_toggle_size_sm""><div class=""vc_toggle_title""><p style=""font-size: 20px;color: #52c28a;text-align: left;font-family:open sans;font-weight:600;font-style:normal"" class=""vc_custom_heading"">¿qué medidas de higiene y seguridad tienen implementadas?</p><i class=""vc_toggle_icon""></i></div><div class=""vc_toggle_content""><p><span>seguimos protocolos estrictos de limpieza y desinfección, y cumplimos con las directrices sanitarias vigentes para garantizar un entorno seguro</span></p><div id=""gtx-trans"" style=""position: absolute; left: -46px; top: -14px;""><div class=""gtx-trans-icon""></div></div></div></div><div class=""vc_toggle vc_toggle_round vc_toggle_color_default  vc_toggle_size_sm""><div class=""vc_toggle_title""><p style=""font-size: 20px;color: #52c28a;text-align: left;font-family:open sans;font-weight:600;font-style:normal"" class=""vc_custom_heading"">¿es posible cambiar de un puesto de coworking a una oficina privada?</p><i class=""vc_toggle_icon""></i></div><div class=""vc_toggle_content""><p>sí, ofrecemos flexibilidad para cambiar según la disponibilidad y tus necesidades.</p></div></div></div></div></div></div><div class=""vc_row wpb_row vc_row-fluid position-relative""><div class=""wpb_column vc_column_container vc_col-sm-12""><div class=""vc_column-inner""><div class=""wpb_wrapper""><div class=""deeper-spacer clearfix"" data-config=""{&quot;desktop&quot;:90,&quot;mobile&quot;:50,&quot;smobile&quot;:50}"" style=""height:90px""></div></div></div></div></div><div class=""vc_row wpb_row vc_row-fluid position-relative""><div class=""wpb_column vc_column_container vc_col-sm-12""><div class=""vc_column-inner""><div class=""wpb_wrapper""><h2 class=""deeper-text align-center "" style=""font-size:28px;letter-spacing:-0.2px;""><p style=""font-weight: 400;"">opiniones de nuestros clientes</p><div id=""gtx-trans"" style=""position: absolute; left: -20px; top: -14px;""><div class=""gtx-trans-icon""></div></div></h2><div class=""deeper-spacer clearfix"" data-config=""{&quot;desktop&quot;:90,&quot;mobile&quot;:50,&quot;smobile&quot;:50}"" style=""height:90px""></div><div class=""wpb_text_column wpb_content_element ""><div class=""wpb_wrapper""><div data-src=""https://cdn.trustindex.io/loader.js?wp-widget"" data-css-url=""https://ilcoworking.es/wp-content/uploads/trustindex-google-widget.css?1732242791"" data-ti-widget-inited=""true""></div><div id=""gtx-trans"" style=""position: absolute; left: -34px; top: -14px;""><div class=""gtx-trans-icon""></div></div></div></div><div class=""deeper-spacer clearfix"" data-config=""{&quot;desktop&quot;:90,&quot;mobile&quot;:50,&quot;smobile&quot;:50}"" style=""height:90px""></div></div></div></div></div></div></article></div></div></div></div><footer id=""footer"" class=""logo-"" style=""""><div id=""footer-widgets"" class=""worksquare-container""><div class=""footer-grid clearfix  gutter-30""><div class=""span_1_of_3 col""><div id=""media_image-1"" class=""widget widget_media_image""><img width=""350"" height=""96"" src=""https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_350,h_96/https://ilcoworking.es/wp-content/uploads/2023/12/color-logo-no-background_new.png"" class=""image wp-image-3032  attachment-full size-full"" alt="""" style=""max-width: 100%; height: auto;"" decoding=""async"" loading=""lazy"" srcset=""https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_350/https://ilcoworking.es/wp-content/uploads/2023/12/color-logo-no-background_new.png 350w, https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_300/https://ilcoworking.es/wp-content/uploads/2023/12/color-logo-no-background_new-300x82.png 300w"" sizes=""auto, (max-width: 350px) 100vw, 350px""></div><div id=""text-3"" class=""widget widget_text""><div class=""textwidget""><p>nuestros espacios de coworking, abiertos y perfectamente diseñados, ofrecen una dimensión dinámica a tu forma de trabajar, permitiéndote formar parte de una próspera comunidad en nuestra oficina compartida.</p></div></div></div><div class=""span_1_of_3 col""><div id=""widget_links-1"" class=""widget widget_links""><h2 class=""widget-title""><span>servicios</span></h2><ul class=""links-wrap clearfix ""><li style=""margin-bottom:10px""> <a href=""https://ilcoworking.es/coworking-madrid/"" data-letters=""coworking""> coworking </a></li><li style=""margin-bottom:10px""> <a href=""https://ilcoworking.es/despacho-privados/"" data-letters=""despacho privados""> despacho privados </a></li><li style=""margin-bottom:10px""> <a href=""https://ilcoworking.es/sala-reuniones-y-eventos-madrid/"" data-letters=""reuniones y eventos""> reuniones y eventos </a></li><li style=""margin-bottom:10px""> <a href=""https://ilcoworking.es/beneficios-ilcoworking-legal-services/"" data-letters=""beneficios""> beneficios </a></li><li style=""margin-bottom:10px""> <a href=""https://ilcoworking.es/servicios-legales/"" data-letters=""servicios legales""> servicios legales </a></li><li style=""margin-bottom:10px""> <a href=""https://ilcoworking.es/blog-standard/"" data-letters=""blog""> blog </a></li></ul></div></div><div class=""span_1_of_3 col""><div id=""text-1"" class=""widget widget_text""><h2 class=""widget-title""><span>contacto</span></h2><div class=""textwidget""></div></div><div id=""widget_information-1"" class=""widget widget_information""><ul class=""clearfix""><li class=""clearfix""><span class=""info-title""></span><span class=""info"">teléfono:  +34 91 117 94 82 | +34 900 264 918</span></li><li class=""clearfix""><span class=""info-title""></span><span class=""info"">email: info@ilcoworking.es</span></li><li class=""clearfix""><span class=""info-title""></span><span class=""info"">dirección: glorieta de bilbao n.º 1, 3º derecha, 28004, madrid</span></li><li class=""clearfix""><span class=""info-title""></span><span class=""info"">horario: 8:30 am-21:00 pm</span></li></ul></div><div id=""widget_socials-1"" class=""widget widget_socials""><div class=""socials clearfix"" style=""""><div class=""icon"" style=""""><a target=""_blank"" title=""facebook-f"" href=""https://www.facebook.com/profile.php?id=61554946976787"" style=""margin-bottom:10px""><i class=""fa fa-facebook-f""></i></a></div><div class=""icon"" style=""""><a target=""_blank"" title=""linkedin"" href=""https://www.linkedin.com/company/101602222/"" style=""margin-bottom:10px""><i class=""fa fa-linkedin""></i></a></div><div class=""icon"" style=""""><a target=""_blank"" title=""instagram"" href=""https://www.instagram.com/ilcoworkinglegalservices/"" style=""margin-bottom:10px""><i class=""fa fa-instagram""></i></a></div></div></div></div></div></div></footer><div id=""bottom"" class=""style-2"" style=""""><div class=""worksquare-container""><div class=""bottom-bar-inner-wrap""><div class=""bottom-bar-copyright clearfix""><div id=""copyright""> © ilcoworking &amp; legal services. todos los derechos reservados.</div><div class=""bottom-bar-menu""><ul id=""menu-bottom-menu"" class=""bottom-nav""><li id=""menu-item-2822"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-privacy-policy menu-item-2822""><a rel=""privacy-policy"" href=""https://ilcoworking.es/politica-de-privacidad-y-politica-de-cookies/"">política de privacidad y política de cookies</a></li></ul></div></div></div></div></div></div></div> <a id=""scroll-top""></a> <template id=""tp-language"" data-tp-language=""es_es""></template> <script>window.rs_modules = window.rs_modules || {};","wifi,impresora,parking",,"despacho privado,oficina privada"
Coworking La Fábrica: espacio de oficinas,Madrid,"C. de Pradillo, 5, Chamartín, 28002 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.44883919999999,-3.6760372,/uploads/coworking/coworking_coworking_la_fábrica_espacio_de_oficinas_1.jpg,/uploads/coworking/coworking_coworking_la_fábrica_espacio_de_oficinas_2.jpg,/uploads/coworking/coworking_coworking_la_fábrica_espacio_de_oficinas_3.jpg,/uploads/coworking/coworking_coworking_la_fábrica_espacio_de_oficinas_4.jpg,910 61 60 53,,https://coworkinglafabrica.es/coworking-principe-de-vergara/,,,400,,"s, salas de reuniones, recepción de correo y parking más próximo: garaje 205, en la calle príncipe de vergara 205 y aparcamiento auditorio en calle de aragón 1.</p><p style=""font-weight: 400;"">&nbsp;</p>						</div>","wifi,internet,café,impresora,parking,aire acondicionado",,
Edificio TRIPLE,Madrid,"C. de Ferraz, 56, Moncloa - Aravaca, 28008 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.4277778,-3.7185992,/uploads/coworking/coworking_edificio_triple_1.jpg,/uploads/coworking/coworking_edificio_triple_2.jpg,/uploads/coworking/coworking_edificio_triple_3.jpg,/uploads/coworking/coworking_edificio_triple_4.jpg,605 03 89 48,hola@tripleferraz.com,https://tripleferraz.com/,,,,,a la transformación de quienes se inician en la sostenibilidad.</span></p>,,,
EslabON Coworking,Madrid,"C. de Valle de Oro, 50, local posterior, Carabanchel, 28019 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.38691,-3.723964,/uploads/coworking/coworking_eslabon_coworking_1.jpg,/uploads/coworking/coworking_eslabon_coworking_2.jpg,/uploads/coworking/coworking_eslabon_coworking_3.jpg,/uploads/coworking/coworking_eslabon_coworking_4.jpg,912 96 08 57,info@eslaboncoworking.es,https://www.eslaboncoworking.es/,,,,,"de 18-20h. es una manera de educar a nuestros hijos y además poner al día la terraza del coworking! así que si tenéis hijos de entre 4-12 años, sobrinos primos o vecinos, es una oportunidad perfecta de hacer algo diferente un sábado! ¿cuál es el objetivo del taller? el objetivo es introducirles al mundo de la agroecología&nbsp;urbana mediante las plantas, la tierra y el agua. </p><p><a class=""dp-readon"" href=""https://eslaboncoworking.es/2017/05/12/taller-agrohuertos-urbanos-ninos-en-carabanchel/""><span>read more</span></a></p><p></p>","café,cocina,terraza",,
Cink Coworking,Madrid,"Av. de Manoteras, 24, Hortaleza, 28050 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.4865425,-3.6669427,/uploads/coworking/coworking_cink_coworking_1.jpg,/uploads/coworking/coworking_cink_coworking_2.jpg,/uploads/coworking/coworking_cink_coworking_3.jpg,/uploads/coworking/coworking_cink_coworking_4.jpg,911 30 92 21,info@cinkcoworking.es,https://cinkcoworking.es/,,,,,de vuestros coworking de madrid?</a>,"sala de reuniones,café,impresora,parking",,"despacho privado,sala de reuniones"
Coworking LOOM Salamanca,Madrid,"Calle de Don Ramón de la Cruz, 38, Salamanca, 28001 Madrid, España",Espacio coworking en Madrid. Valoración: 4.5,40.4288935,-3.6818352,/uploads/coworking/coworking_coworking_loom_salamanca_1.jpg,/uploads/coworking/coworking_coworking_loom_salamanca_2.jpg,/uploads/coworking/coworking_coworking_loom_salamanca_3.jpg,/uploads/coworking/coworking_coworking_loom_salamanca_4.jpg,648 22 92 42,rrhh@loom.es,https://loom.es/espacios-coworking/madrid/loom-salamanca?utm_medium=gmb_fuente&utm_source=loom_salamanca&utm_campaign=,,,330,,,"wifi,internet,café,impresora,parking",,
Coworking La Guarida Creativa Debod,Madrid,"C. de Ferraz, 28, Moncloa - Aravaca, 28008 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.4254575,-3.7164145,/uploads/coworking/coworking_coworking_la_guarida_creativa_debod_1.jpg,/uploads/coworking/coworking_coworking_la_guarida_creativa_debod_2.jpg,/uploads/coworking/coworking_coworking_la_guarida_creativa_debod_3.jpg,/uploads/coworking/coworking_coworking_la_guarida_creativa_debod_4.jpg,916 46 31 63,info@laguaridacreativa.es,https://laguaridacreativa.es/,,,,,,"wifi,sala de reuniones,terraza",,sala de reuniones
Central 44 Coworking,Madrid,"Gran Vía, 44, 1ª planta izquierda, Centro, 28013 Madrid, España",Espacio coworking en Madrid. Valoración: 4.1,40.4205576,-3.7054769,/uploads/coworking/coworking_central_44_coworking_1.jpg,/uploads/coworking/coworking_central_44_coworking_2.jpg,/uploads/coworking/coworking_central_44_coworking_3.jpg,/uploads/coworking/coworking_central_44_coworking_4.jpg,911 04 26 97,info@coworkingcentral44madrid.com,https://coworkingcentral44madrid.com/,,,,,"s y estilo de trabajo, haciendo de este el lugar perfecto para un <strong>coworking por horas en madrid</strong>.</p>","internet,sala de reuniones,café,impresora,terraza",,"puesto fijo,sala de reuniones"
Village Coworking,Madrid,"C. de San Lorenzo, 11, Centro, 28004 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.4251014,-3.6988664,/uploads/coworking/coworking_village_coworking_1.jpg,/uploads/coworking/coworking_village_coworking_2.jpg,/uploads/coworking/coworking_village_coworking_3.jpg,/uploads/coworking/coworking_village_coworking_4.jpg,911 92 40 54,soporte@villagemadrid.com,https://villagemadrid.com/,,,,,,,,
Meet BCN - Coworking Space in Barcelona,Barcelona,"Rambla de Catalunya, 125, 3º 2ª, L'Eixample, 08008 Barcelona, España",Espacio coworking en Barcelona. Valoración: 4.8,41.39483389999999,2.1579685,/uploads/coworking/coworking_meet_bcn__coworking_space_in_barcelona_1.jpg,/uploads/coworking/coworking_meet_bcn__coworking_space_in_barcelona_2.jpg,/uploads/coworking/coworking_meet_bcn__coworking_space_in_barcelona_3.jpg,/uploads/coworking/coworking_meet_bcn__coworking_space_in_barcelona_4.jpg,931 76 30 76,isabel@meetbcn.com,http://www.meetbcn.com/,,,,,,"wifi,internet,sala de reuniones,café,cocina",,"despacho privado,sala de reuniones"
Betahaus Coworking Barcelona,Barcelona,"Carrer de Vilafranca, 7, Gràcia, 08024 Barcelona, España",Espacio coworking en Barcelona. Valoración: 4.8,41.406983,2.1567652,/uploads/coworking/coworking_betahaus_coworking_barcelona_1.jpg,/uploads/coworking/coworking_betahaus_coworking_barcelona_2.jpg,/uploads/coworking/coworking_betahaus_coworking_barcelona_3.jpg,/uploads/coworking/coworking_betahaus_coworking_barcelona_4.jpg,655 62 71 49,contact@betahaus.es,https://www.betahaus.es/,,,,,,terraza,,
